26987,"Isojärvi, Kaisa",Vasemmistoliitto,-1.5964687795107226,2.530979064498246
22242,"Jokela, Elina",Suomen Sosialidemokraattinen Puolue,1.3011175531466739,1.0872226181065798
25989,"Kiiskinen, Raija",Vasemmistoliitto,2.9359178147238483,-0.25108293396355985
26758,"Kivelä, Veijo",Suomen Keskusta,-2.529283362226395,-0.011410105522328795
25546,"Korkeasalo, Kaisa",Suomen Sosialidemokraattinen Puolue,2.650116305624956,2.2258073584532827
14828,"Lassila, Pekka",Suomen Sosialidemokraattinen Puolue,2.048846721416557,2.1256421193009545
14861,"Laurila, Johanna",Suomen Sosialidemokraattinen Puolue,1.4718794553125207,1.5955158891031451
25206,"Leskinen, Marita",Suomen Keskusta,0.0024768479949426325,-2.041792102861645
24524,"Mattila, Niina",Suomen Keskusta,0.4527622407112377,0.9193770812847945
25692,"Ollila, Kari",Suomen Keskusta,2.101975965055905,-2.5335380698261645
18670,"Pennanen, Tuula",Suomen Sosialidemokraattinen Puolue,1.9020254189165136,1.6430299094244507
13453,"Riikonen, Asta",Suomen Eläinoikeuspuolue,-1.6583791428044192,0.8569824387845357
17171,"Salmijärvi, Petteri",Suomen Keskusta,2.07314903952092,1.6956811282554736
26192,"Takkunen, Sirkka",Vasemmistoliitto,-1.8174987785155714,0.9028297772527485
26861,"Tennilä, Maria",Suomen Keskusta,-1.3510465119139603,0.618881363827809
23679,"Tuutijärvi, Vesa",Suomen Keskusta,2.0875625022884123,-0.41892847078534534
22828,"Vuorela, Erkki",Suomen Keskusta,1.0054271887109099,1.8794643025280846
16524,"Värriö-Pohtila, Terttu",Suomen Keskusta,1.0297295068152734,1.449503311482604
